Experiment,Overshoot (%),Rise Time (s),Settling Time (s),RMSE
1,0.0,7.3,10.11,0.033850005328273175
2,0.07378566657151309,6.97,10.040000000000001,0.06443986506234312
3,1.9927027987285402,7.11,11.950000000000001,0.09554394395191516
4,1.7072851896163947,7.17,12.07,0.12568915324935043
5,1.2293135298244273,7.22,12.39,0.15528485763378794
6,1.8195383326957508,7.23,12.51,0.18448449600807376
7,1.7246788340375483,7.23,13.19,0.2142079653841383
8,1.6050262630199763,7.3500000000000005,13.52,0.23994528081125469
9,1.7679608841275,6.84,13.49,0.2734007093139657
10,1.2909604377873363,6.75,13.13,0.310796769895743
Mean,1.3211251936408988,7.117,12.239999999999998,0.16976430466388454
