Experiment,Overshoot (%),Rise Time (s),Settling Time (s),RMSE
1,21.55749925893892,2.35,19.990000000000002,0.035067491759008175
2,6.983827467652026,5.58,19.95,0.06928364229651561
3,5.83422981345812,5.92,19.900000000000002,0.10130604071979962
4,2.1828829409443613,6.86,19.92,0.13239283621488634
5,2.3919342727894977,7.28,19.8,0.1686000594901499
6,1.0012918056124624,7.63,19.650000000000002,0.20063558740795212
7,0.5314648866316305,8.44,19.22,0.23469440783828224
8,0.18212334545829323,8.28,16.48,0.2673936648663542
9,0.0,8.65,17.740000000000002,0.3007737605383223
10,0.0,8.68,16.21,0.33433915770987677
Mean,4.066525379148532,6.9670000000000005,18.886000000000003,0.18444866488411474
