Experiment,Overshoot (%),Rise Time (s),Settling Time (s),RMSE
1,0.0,5.25,14.700000000000001,0.03014752356446505
2,3.730619464845569,16.830000000000002,19.990000000000002,0.09769839332941681
3,0.0,8.17,15.870000000000001,0.12759334897528213
4,1.8612188818021569,7.79,17.73,0.14037911475941223
5,2.4426082568191454,6.62,18.52,0.1496376517158017
6,3.4605014608950864,6.42,13.030000000000001,0.1605281160097642
7,0.6874831209518245,6.57,16.17,0.1769346239746582
8,0.0,4.7,14.370000000000001,0.22272313731904372
9,0.12895465184743,3.65,12.9,0.2598125191480329
10,1.011223524387117,5.54,15.27,0.2727480677005803
Mean,1.3322609361548328,7.154000000000002,15.855,0.16382024964964573
