Experiment,Overshoot (%),Rise Time (s),Settling Time (s),RMSE
1,122.41108136221742,0.04,19.990000000000002,0.18195848268575412
2,10.851559857125977,0.14,19.98,0.020430366245819807
3,6.870505125123456,10.52,19.93,0.13910845148705728
4,7.728648560863513,7.79,19.97,0.19235338854239822
5,7.5971617055641705,7.75,19.93,0.2154712168195115
6,5.086003328219828,5.8,19.98,0.21164493302968646
7,5.925165466040715,5.46,19.43,0.21356357923863722
8,5.649461757451443,5.51,19.900000000000002,0.22073484705281074
9,0.0,4.5600000000000005,19.12,0.21896399744596876
10,0.0,,19.990000000000002,0.28993501514880743
Mean,17.21195871626065,5.285555555555556,19.822000000000003,0.19041642776964515
